"","teamID","yearID","Rostercost","meansalary","rostersize"
"119","BOS",2012,173186617,5093724.02941176,34
"120","BOS",2013,151530000,5225172.4137931,29
"121","BOS",2014,139019929,4484513.83870968,31
"122","BOS",2015,181103400,5659481.25,32
"123","BOS",2016,188545761,6501577.96551724,29
"124","CAL",1985,14427894,515281.928571429,28
"125","CAL",1986,14427258,497491.655172414,29
"126","CAL",1987,12843499,475685.148148148,27
"127","CAL",1988,11947388,426692.428571429,28
"128","CAL",1989,15097833,580685.884615385,26
"129","CAL",1990,21720000,620571.428571429,35
"130","CAL",1991,33060001,1066451.64516129,31
"131","CAL",1992,34749334,1158311.13333333,30
"132","CAL",1993,28588334,893385.4375,32
"133","CAL",1994,25156218,786131.8125,32
"134","CAL",1995,31223171,946156.696969697,33
"135","CAL",1996,28738000,776702.702702703,37
"136","CHA",1985,9846178,468865.619047619,21
"137","CHA",1986,10418819,336090.935483871,31
"138","CHA",1987,10641843,443410.125,24
"139","CHA",1988,6390000,266250,24
"140","CHA",1989,7265410,290616.4,25
"141","CHA",1990,9491500,306177.419354839,31
"142","CHA",1991,16919667,604273.821428571,28
"143","CHA",1992,30160833,1005361.1,30
"144","CHA",1993,39696166,1280521.48387097,31
"145","CHA",1994,39183836,1306127.86666667,30
"146","CHA",1995,46961282,1341750.91428571,35
"147","CHA",1996,45139500,1612125,28
"148","CHA",1997,57740000,1603888.88888889,36
"149","CHA",1998,38335000,1161666.66666667,33
"150","CHA",1999,25620000,800625,32
"151","CHA",2000,31133500,1073568.96551724,29
"152","CHA",2001,65653667,2431617.2962963,27
"153","CHA",2002,57052833,2113067.88888889,27
"154","CHA",2003,51010000,1961923.07692308,26
"155","CHA",2004,65212500,2508173.07692308,26
"156","CHA",2005,75178000,2784370.37037037,27
"157","CHA",2006,102750667,3951948.73076923,26
"158","CHA",2007,108671833,4179685.88461538,26
"159","CHA",2008,121189332,4488493.77777778,27
"160","CHA",2009,96068500,3694942.30769231,26
"161","CHA",2010,105530000,4058846.15384615,26
"162","CHA",2011,127789000,4732925.92592593,27
"163","CHA",2012,96919500,3876780,25
"164","CHA",2013,120065277,4288045.60714286,28
"165","CHA",2014,81830500,3409604.16666667,24
"166","CHA",2015,112373700,4161988.88888889,27
"167","CHA",2016,112998667,4519946.68,25
"168","CHN",1985,12702917,577405.318181818,22
"169","CHN",1986,17208165,555102.096774194,31
"170","CHN",1987,14307999,550307.653846154,26
"171","CHN",1988,13119198,524767.92,25
"172","CHN",1989,10668000,444500,24
"173","CHN",1990,13624000,439483.870967742,31
"174","CHN",1991,23175667,927026.68,25
"175","CHN",1992,29829686,1065345.92857143,28
"176","CHN",1993,39386666,1230833.3125,32
"177","CHN",1994,36287333,1170559.12903226,31
"178","CHN",1995,29505834,922057.3125,32
"179","CHN",1996,33081000,1002454.54545455,33
"180","CHN",1997,42155333,1317354.15625,32
"181","CHN",1998,50838000,1639935.48387097,31
"182","CHN",1999,62343000,1684945.94594595,37
"183","CHN",2000,60539333,2017977.76666667,30
"184","CHN",2001,64715833,2396882.7037037,27
"185","CHN",2002,75690833,2703244.03571429,28
"186","CHN",2003,79868333,2852440.46428571,28
"187","CHN",2004,90560000,3122758.62068966,29
"188","CHN",2005,87032933,3108319.03571429,28
"189","CHN",2006,94424499,3372303.53571429,28
"190","CHN",2007,99670332,3691493.77777778,27
"191","CHN",2008,118345833,4383179,27
"192","CHN",2009,134809000,5392360,25
"193","CHN",2010,146609000,5429962.96296296,27
"194","CHN",2011,125047329,5001893.16,25
"195","CHN",2012,88197033,3392193.57692308,26
"196","CHN",2013,100567726,3867989.46153846,26
"197","CHN",2014,65522500,2426759.25925926,27
"198","CHN",2015,115879310,4138546.78571429,28
"199","CHN",2016,154067668,5312678.20689655,29
"200","CIN",1985,8359917,379996.227272727,22
"201","CIN",1986,11906388,396879.6,30
"202","CIN",1987,9281500,356980.769230769,26
"203","CIN",1988,8888409,355536.36,25
"204","CIN",1989,11072000,381793.103448276,29
"205","CIN",1990,14370000,422647.058823529,34
"206","CIN",1991,26305333,1011743.57692308,26
"207","CIN",1992,35931499,1330796.25925926,27
"208","CIN",1993,44879666,1359989.87878788,33
"209","CIN",1994,40961833,1321349.4516129,31
"210","CIN",1995,43144670,1268960.88235294,34
"211","CIN",1996,42526334,1215038.11428571,35
"212","CIN",1997,49768000,1244200,40
"213","CIN",1998,23005000,676617.647058823,34
"214","CIN",1999,33962761,1095572.93548387,31
"215","CIN",2000,46867200,1735822.22222222,27
"216","CIN",2001,48986000,1814296.2962963,27
"217","CIN",2002,45050390,1501679.66666667,30
"218","CIN",2003,59355667,2119845.25,28
"219","CIN",2004,46615250,1664830.35714286,28
"220","CIN",2005,61892583,2063086.1,30
"221","CIN",2006,60909519,2175339.96428571,28
"222","CIN",2007,68524980,2210483.22580645,31
"223","CIN",2008,74117695,2647060.53571429,28
"224","CIN",2009,73558500,3198195.65217391,23
"225","CIN",2010,71761542,2760059.30769231,26
"226","CIN",2011,75947134,2531571.13333333,30
"227","CIN",2012,82203616,2935843.42857143,28
"228","CIN",2013,106404462,4256178.48,25
"229","CIN",2014,108217500,3864910.71428571,28
"230","CIN",2015,113072286,4187862.44444444,27
"231","CIN",2016,88940059,3066898.5862069,29
"232","CLE",1985,6551666,327583.3,20
"233","CLE",1986,7809500,251919.35483871,31
"234","CLE",1987,8513750,304062.5,28
"235","CLE",1988,8936500,406204.545454545,22
"236","CLE",1989,9094500,336833.333333333,27
"237","CLE",1990,14487000,439000,33
"238","CLE",1991,17635000,587833.333333333,30
"239","CLE",1992,9373044,267801.257142857,35
"240","CLE",1993,18561000,464025,40
"241","CLE",1994,30490500,871157.142857143,35
"242","CLE",1995,37937835,1083938.14285714,35
"243","CLE",1996,48107360,1551850.32258065,31
"244","CLE",1997,56802460,1832337.41935484,31
"245","CLE",1998,60800166,1842429.27272727,33
"246","CLE",1999,72978462,1920485.84210526,38
"247","CLE",2000,75880771,2918491.19230769,26
"248","CLE",2001,93152001,3105066.7,30
"249","CLE",2002,78909449,2630314.96666667,30
"250","CLE",2003,48584834,1567252.70967742,31
"251","CLE",2004,34319300,1143976.66666667,30
"252","CLE",2005,41502500,1431120.68965517,29
"253","CLE",2006,56031500,2241260,25
"254","CLE",2007,61673267,2126664.37931034,29
"255","CLE",2008,78970066,3037310.23076923,26
"256","CLE",2009,81579166,3021450.59259259,27
"257","CLE",2010,61203966,2110481.5862069,29
"258","CLE",2011,48776566,1681950.55172414,29
"259","CLE",2012,78430300,2704493.10344828,29
"260","CLE",2013,75771800,2706135.71428571,28
"261","CLE",2014,82151899,3159688.42307692,26
"262","CLE",2015,87663766,3022888.48275862,29
"263","CLE",2016,74311900,2752292.59259259,27
"264","COL",1993,10353500,313742.424242424,33
"265","COL",1994,23887333,702568.617647059,34
"266","COL",1995,34154717,948742.138888889,36
"267","COL",1996,40179823,1296123.32258065,31
"268","COL",1997,43559667,1451988.9,30
"269","COL",1998,50484648,1682821.6,30
"270","COL",1999,61935837,1821642.26470588,34
"271","COL",2000,61111190,2182542.5,28
"272","COL",2001,71541334,2751589.76923077,26
"273","COL",2002,56851043,2105594.18518519,27
"274","COL",2003,67179667,2239322.23333333,30
"275","COL",2004,65445167,2337327.39285714,28
"276","COL",2005,47839000,1649620.68965517,29
"277","COL",2006,41233000,1288531.25,32
"278","COL",2007,54041000,2078500,26
"279","COL",2008,68655500,2640596.15384615,26
"280","COL",2009,75201000,2785222.22222222,27
"281","COL",2010,84227000,2904379.31034483,29
"282","COL",2011,88148071,3390310.42307692,26
"283","COL",2012,78069571,2692054.17241379,29
"284","COL",2013,74409071,2976362.84,25
"285","COL",2014,95403500,3180116.66666667,30
"286","COL",2015,95688600,3827544,25
"287","COL",2016,112645071,3413487,33
"288","DET",1985,10348143,517407.15,20
"289","DET",1986,12335714,456878.296296296,27
"290","DET",1987,12122881,527081.782608696,23
"291","DET",1988,12869571,559546.565217391,23
"292","DET",1989,15146404,582554,26
"293","DET",1990,17593238,533128.424242424,33
"294","DET",1991,23838333,953533.32,25
"295","DET",1992,27322834,975815.5,28
"296","DET",1993,38150165,1230650.48387097,31
"297","DET",1994,41446501,1336983.90322581,31
"298","DET",1995,37044168,1122550.54545455,33
"299","DET",1996,23438000,732437.5,32
"300","DET",1997,17272000,595586.206896552,29
"301","DET",1998,24065000,687571.428571429,35
"302","DET",1999,36489666,1073225.47058824,34
"303","DET",2000,58265167,2157969.14814815,27
"304","DET",2001,53416167,1907720.25,28
"305","DET",2002,55048000,1966000,28
"306","DET",2003,49168000,1891076.92307692,26
"307","DET",2004,46832000,1672571.42857143,28
"308","DET",2005,69092000,2467571.42857143,28
"309","DET",2006,82612866,2950459.5,28
"310","DET",2007,94800369,3268978.24137931,29
"311","DET",2008,137685196,4589506.53333333,30
"312","DET",2009,115085145,4110183.75,28
"313","DET",2010,122864928,4550552.88888889,27
"314","DET",2011,105700231,3914823.37037037,27
"315","DET",2012,132300000,4562068.96551724,29
"316","DET",2013,145989500,6082895.83333333,24
"317","DET",2014,152855500,6645891.30434783,23
"318","DET",2015,172284750,6891390,25
"319","DET",2016,194876481,6286338.09677419,31
"320","FLO",1993,19330545,568545.441176471,34
"321","FLO",1994,21633000,584675.675675676,37
"322","FLO",1995,24515781,662588.675675676,37
"323","FLO",1996,31022500,969453.125,32
"324","FLO",1997,48692500,1570725.80645161,31
"325","FLO",1998,41322667,1033066.675,40
"326","FLO",1999,21085000,585694.444444444,36
"327","FLO",2000,19872000,709714.285714286,28
"328","FLO",2001,35762500,1153629.03225806,31
"329","FLO",2002,41979917,1499282.75,28
"330","FLO",2003,49450000,1648333.33333333,30
"331","FLO",2004,42143042,1560853.40740741,27
"332","FLO",2005,60408834,2237364.22222222,27
"333","FLO",2006,14671500,586860,25
"334","FLO",2007,30507000,984096.774193548,31
"335","FLO",2008,21811500,660954.545454545,33
"336","FLO",2009,36834000,1315500,28
"337","FLO",2010,57029719,2112211.81481481,27
"338","FLO",2011,56944000,2190153.84615385,26
"339","HOU",1985,9993051,499652.55,20
"340","HOU",1986,9873276,411386.5,24
"341","HOU",1987,12608371,450298.964285714,28
"342","HOU",1988,12286167,472544.884615385,26
"343","HOU",1989,15029500,556648.148148148,27
"344","HOU",1990,18330000,591290.322580645,31
"345","HOU",1991,12852500,514100,25
"346","HOU",1992,15407500,513583.333333333,30
"347","HOU",1993,30210500,1041741.37931034,29
"348","HOU",1994,33126000,1003818.18181818,33
"349","HOU",1995,34169834,949162.055555556,36
"350","HOU",1996,28487000,918935.483870968,31
