"","playerID","yearID","stint","POS","G","GS","InnOuts","PO","A","E","DP"
"816","oberkke01",1985,1,"3B",117,101,2766,70,220,11,19
"817","oberrmi01",1985,1,"C",20,9,262,53,6,0,2
"818","obriech01",1985,1,"C",16,2,119,23,0,1,0
"819","obriepe03",1985,1,"1B",159,153,4040,1457,98,8,125
"820","oconnja02",1985,1,"P",20,1,71,0,1,0,1
"821","oestero01",1985,1,"2B",149,148,3964,366,457,9,100
"822","oglivbe01",1985,1,"OF",91,87,2324,190,4,7,0
"823","ojedabo01",1985,1,"P",39,22,473,13,23,3,0
"824","oliveal01",1985,1,"OF",17,17,372,13,2,2,0
"825","oliveal01",1985,2,"1B",1,0,6,3,0,0,0
"826","omallto01",1985,1,"3B",3,3,72,2,3,1,0
"827","onealra01",1985,1,"P",28,12,283,9,17,2,1
"828","oneilpa01",1985,1,"OF",2,2,48,3,1,0,0
"829","ontivst02",1985,1,"P",39,0,224,7,14,1,1
"830","oroscje01",1985,1,"P",54,0,237,3,8,1,2
"831","orsuljo01",1985,1,"OF",115,93,2652,229,10,6,1
"832","ortizju01",1985,1,"C",23,20,535,115,14,2,3
"833","owenda01",1985,1,"2B",4,0,39,1,1,0,0
"834","owenda01",1985,1,"3B",7,1,57,2,5,1,0
"835","owenda01",1985,1,"SS",7,1,50,3,8,1,2
"836","owenla01",1985,1,"C",25,19,577,129,11,5,1
"837","owensp01",1985,1,"SS",117,111,2892,196,361,14,76
"838","pacioto01",1985,1,"1B",6,5,126,45,5,0,3
"839","pacioto01",1985,1,"OF",23,20,436,31,1,1,0
"840","pacioto01",1985,2,"1B",8,2,99,41,3,0,3
"841","pacioto01",1985,2,"OF",29,21,555,35,0,0,0
"842","paglimi01",1985,1,"3B",134,96,2866,67,187,13,15
"843","palmeda01",1985,1,"P",24,23,407,17,21,1,3
"844","pankoji01",1985,1,"2B",21,8,284,24,35,0,7
"845","pankoji01",1985,1,"3B",1,0,9,0,0,0,0
"846","pankoji01",1985,1,"OF",33,27,700,56,2,1,1
"847","pankoji01",1985,1,"SS",1,1,6,1,1,1,0
"848","pardoal01",1985,1,"C",29,22,586,131,7,3,0
"849","pariske01",1985,1,"2B",2,2,42,3,3,1,0
"850","parkeda01",1985,1,"OF",159,158,4213,329,12,10,1
"851","parrila01",1985,1,"3B",2,1,33,0,3,0,0
"852","parrila01",1985,1,"OF",69,69,1756,111,4,1,0
"853","parrila02",1985,1,"C",120,117,3120,695,53,5,9
"854","pasquda01",1985,1,"OF",37,22,708,72,2,0,0
"855","pastofr01",1985,1,"P",17,6,162,3,9,1,1
"856","pattebo01",1985,1,"P",3,0,12,0,0,0,0
"857","pattere01",1985,1,"P",8,5,117,4,4,0,0
"858","pederst01",1985,1,"OF",5,0,24,2,0,0,0
"859","penaal01",1985,1,"P",2,1,13,0,1,1,0
"860","penabe01",1985,1,"2B",2,0,10,1,0,0,0
"861","penabe01",1985,1,"3B",7,2,94,3,7,0,0
