"","playerID","yearID","stint","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","IBB","HBP","SH","SF","GIDP","batav"
"299","gallemi01",1985,1,77,13,16,5,1,1,9,1,1,12,14,0,1,2,1,2,0.207792207792208
"300","gamblos01",1985,1,148,20,30,5,0,4,20,0,0,34,22,3,1,0,1,1,0.202702702702703
"301","gantnji01",1985,1,523,63,133,15,4,5,44,11,8,33,42,7,3,10,4,13,0.254302103250478
"302","garbeba01",1985,1,237,27,61,9,1,6,29,3,2,15,37,1,3,0,4,7,0.257383966244726
"303","garbege01",1985,1,5,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0.2
"304","garcida01",1985,1,600,70,169,25,4,8,65,28,15,15,41,2,4,5,3,13,0.281666666666667
"305","garciki01",1985,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"306","gardero01",1985,1,39,5,7,2,1,0,2,0,0,8,11,0,0,2,0,2,0.179487179487179
"307","gardnwe01",1985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"308","garneph01",1985,1,463,65,124,23,10,6,51,4,4,34,72,3,2,1,5,12,0.267818574514039
"309","garresc01",1985,1,9,1,2,1,0,0,2,0,0,1,4,0,0,0,0,0,0.222222222222222
"310","garvest01",1985,1,654,80,184,34,6,17,81,0,0,35,67,7,3,1,6,25,0.281345565749235
"311","gedmari01",1985,1,498,66,147,30,5,18,80,2,0,50,79,11,3,3,2,12,0.295180722891566
"312","geiseda01",1985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"313","gerbecr01",1985,1,91,8,24,1,2,0,6,0,3,2,3,0,0,3,1,2,0.263736263736264
"314","gibsobo02",1985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"315","gibsoki01",1985,1,581,96,167,37,5,29,97,30,4,71,137,16,5,3,10,5,0.287435456110155
"316","gilbema01",1985,1,22,3,6,1,0,0,3,0,0,4,5,0,0,0,0,1,0.272727272727273
"317","gilesbr01",1985,1,58,6,10,1,0,1,1,2,1,7,16,0,0,0,0,1,0.172413793103448
"318","gladdda01",1985,1,502,64,122,15,8,7,41,32,15,40,78,1,7,10,2,10,0.243027888446215
"319","gleatje01",1985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"320","glynned01",1985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"321","gonzade01",1985,1,124,11,28,4,0,4,12,2,4,13,27,2,0,1,0,1,0.225806451612903
"322","gonzajo02",1985,1,11,6,3,2,0,0,0,1,1,1,3,0,0,0,0,1,0.272727272727273
"323","goodedw01",1985,1,93,11,21,2,0,1,9,0,0,5,15,0,0,9,0,1,0.225806451612903
"324","gormato03",1985,1,5,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0
